0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:23 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:23 -0400] "GET /atm-ui/resources/images/camera-button.png HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:31 -0400] "GET /atm-ui/resources/images/amundsen-signature.png HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:31 -0400] "GET /atm-ui/resources/images/antarctica-symbol.png HTTP/1.1" 200 15534
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:34 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:45 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:48 -0400] "PUT /atm-api/accounts/111222?amount=310&isWithdrawal=false HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:48 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:48 -0400] "GET /atm-api/accounts/654321 HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:48 -0400] "GET /atm-api/accounts/111222 HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:49:56 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:07 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:18 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:27 -0400] "PUT /atm-api/accounts/111222?amount=200.00&isWithdrawal=true&payee=Cold%20Hard%20Cash%20Lenders HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:27 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:27 -0400] "GET /atm-api/accounts/654321 HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:27 -0400] "GET /atm-api/accounts/111222 HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:29 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:40 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:51 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:50:54 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:02 -0400] "GET /atm-api/users/jianyu HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:02 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:13 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
